name;operator;city;postcode;street;housenumber;amenity;office;shop;geom
Zum Tanzenden Einhorn;;Hamburg;20146;Bundesstraße;6;bar;;;0101000020E61000008F368E588BF723401FDE736039C84A40
Made in Italy;;;;;;restaurant;;;0101000020E610000042791F47730424407A97416B34CA4A40
HENNY's;;Hamburg;22085;Hans-Henny-Jahnn-Weg;1;restaurant;;;0101000020E6100000656C8DAD0C072440736083CF20CA4A40
Rocco;;Hamburg;22085;Hofweg;104;restaurant;;;0101000020E610000035C291F6F5062440E0E9DF3F27CA4A40
Portici;;Hamburg;22301;Körnerstraße;1;restaurant;;;0101000020E61000000AEAA5738F06244069EAD04433CA4A40
Pittarello, Ristorante • Bar;;Hamburg;22303;Mühlenkamp;8;restaurant;;;0101000020E61000008ABECCC17D062440E73114C149CA4A40
Elbgold;;Hamburg;22303;Mühlenkamp;6a;cafe;;;0101000020E61000007D6940738C0624400CD2E7FE45CA4A40
Balzac Coffee;;Hamburg;22303;Gertigstraße;1;cafe;;;0101000020E6100000C9CA2F8331062440CC87FB2367CA4A40
Stadtbäckerei Junge;;Hamburg;22303;Mühlenkamp;32;cafe;;bakery;0101000020E6100000DCCA01710D062440BC8D171C6FCA4A40
Hamburger Sparkasse;Hamburger Sparkasse;;;;;bank;;;0101000020E6100000BD827EF0EB0524408122BB7779CA4A40
Sushi Yama;;;;;;restaurant;;;0101000020E610000003C644944004244085F5DAC765CA4A40
Cafe Hirsch;;;;;;restaurant;;;0101000020E6100000F5DD08E643F323409F3AFB6FCACA4A40
La Bruschetta;;;;;;restaurant;;;0101000020E61000002FBE0DD6A4042440F278FFC46DCA4A40
Café Canale;;Hamburg;22301;Poelchaukamp;7;cafe;;;0101000020E6100000476B56C73B052440DBFAE93F6BCA4A40
Eiscafé am Poelchaukamp;;Hamburg;22301;Poelchaukamp;3;cafe;;;0101000020E610000090A09D7873052440C65D73FD71CA4A40
Edeka-Markt Niemerszein & Co.;;Hamburg;22303;Mühlenkamp;43;;;supermarket;0101000020E610000021808A9933052440A98D452E93CA4A40
Gallo Nero;;Hamburg;22301;Sierichstraße;46;restaurant;;;0101000020E6100000C66B031CE703244028D1370E61CA4A40
Mangia e Bevi;;;;;;restaurant;;;0101000020E6100000AA06ABFB1104244070AE06CD53CA4A40
3 Tageszeiten;Ralph Larouette;Hamburg;22303;Mühlenkamp;29;restaurant;;;0101000020E61000003512FCCADE052440060A06216ACA4A40
Arcada;;Hamburg;22303;Gertigstraße;7;restaurant;;;0101000020E610000040CF55A98F062440518138B46DCA4A40
Limon;;Hamburg;22303;Mühlenkamp;18;fast_food;;;0101000020E610000045BE4BA94B062440D0D325885FCA4A40
Buchhandlung Hoffmann;;Hamburg;22305;Fuhlsbüttler Straße;106;;;books;0101000020E61000000F3B9D75D717244068EA1AD24DCB4A40
EDEKA Wochnik;EDEKA;;;;;;;supermarket;0101000020E61000002F83D668DEC623405AB09EA40ACD4A40
Lekker Ding;;;;;;restaurant;;;0101000020E61000003B27AC43242124409A6B877599C44A40
Khorasan;;;;;;restaurant;;;0101000020E61000009C16612FB91A2440FAA46EC218C54A40
Holly's Grill;;;;;;fast_food;;;0101000020E6100000B55ABB48FC1924404116FDFC52C54A40
Jannis Imbiss;;;;;;fast_food;;;0101000020E6100000C957A76F3E1A24408626E4DE57C54A40
;;;;;;;;kiosk;0101000020E61000003409281E611A2440A34DC4115AC54A40
Prima Vera;;;;;;cafe;;;0101000020E61000008AA251CB201424409D0C33D9E4C54A40
Der freundliche Laden;;;;;;;;convenience;0101000020E6100000CB935ADE0B162440F694415A08C54A40
;;;;;;;;kiosk;0101000020E6100000FA1C69BAE81524408772FD16F8C44A40
Horn-Moll Wendt;;;;;;doctors;;;0101000020E6100000865CA96741142440468EBE9360C44A40
Haarstudio Damen u. Herren Maria Ciepluch;;;;;;;;hairdresser;0101000020E6100000B6604E756D14244058B730C15FC44A40
Aral;;;;;;fast_food;;;0101000020E6100000984CBAD2D7202440BE1F1219B1C44A40
Penny;Penny;Hamburg;;Drosselstraße;18;;;supermarket;0101000020E6100000DFF53EFACB172440A910340B59CB4A40
Nur Hier;;;;;;;;bakery;0101000020E6100000ED1FFAA4C9E72340BDE82B4833C94A40
Peukert;;;;;;;;bakery;0101000020E6100000537AA69718E72340C809B88C40C94A40
Jan Kopp;;;;;;;;frame;0101000020E61000006F48A30227E723400A4735913EC94A40
Mine;;;;;;restaurant;;;0101000020E6100000CDAC4AC741E623406FED8ED662C94A40
HaarSHOPF;;;;;;;;hairdresser;0101000020E6100000B1D128136DE5234050D724896FC94A40
Hellas;;;;;;restaurant;;;0101000020E61000004A873DA363E52340E00D0E9B6DC94A40
Maybach;;Hamburg;20255;Heußweg;66;restaurant;;;0101000020E6100000F44CD47723E82340C3A453B2F7C94A40
Cafe Libretto;;;;;;cafe;;;0101000020E610000017E016878EF82340C364AA6054C84A40
kopiba;;Hamburg;20359;Beim Grünen Jäger;24;cafe;;;0101000020E6100000ADA7565F5DED23408811C2A38DC74A40
Galerie Tolerance;;Hamburg;22767;Lerchenstraße;103;restaurant;;;0101000020E6100000B7C5EBB078EC23401221640FA3C74A40
Taxi-Ruf Schenefeld gbr;;Schenefeld;22869;Schenefelder Platz;33;;;service;0101000020E6100000D1121A7739B32340B89ED78E98CC4A40
Backshop Landwehr;;;;;;;;bakery;0101000020E610000013A5187B8A1324401F882CD2C4C74A40
XPerience;;;;;;cafe;;;0101000020E610000054E751F17F132440E83AE86DC7C74A40
Sphinx Döner;;;;;;fast_food;;;0101000020E6100000C9F841A731132440194D7853DBC74A40
Krox;Kroland GmbH;Hamburg;22089;Hasselbrookstraße;1;fast_food;;;0101000020E610000052EA37B8191324400DFE2378E8C74A40
Rolf Peters;;;;;;;;hairdresser;0101000020E6100000F25F2008901124403785DF9744C84A40
China-Restaurant Golden 金门饭店;;Hamburg;22089;Wartenau;4;restaurant;;;0101000020E61000002B5DB00A8A1124404213BC7C46C84A40
Lerchenfeld Apotheke;;Hamburg;22081;Lerchenfeld;14;pharmacy;;;0101000020E610000068E1FC97B50E244093CC45D7E0C84A40
Jaipur;;Hamburg;22081;Lerchenfeld;14;restaurant;;;0101000020E6100000E17371659A0E2440D3F1E20EE5C84A40
Baris;;Hamburg;22081;Lerchenfeld;48;restaurant;;;0101000020E61000002DAA8FD14B0E24407755FBCFF5C84A40
Inos;;;22081;Finkenau;1;restaurant;;;0101000020E61000000131AE5D7F0F2440B4075A8121C94A40
Hamburger Volksbank;Volksbank;Hamburg;22083;Hamburger Straße;148;bank;;;0101000020E61000005241EA1B3D132440B486414FB9C94A40
KreHaarTiv;;Hamburg;22083;Hamburger Straße;164;;;hairdresser;0101000020E610000085C31C4EAA132440B0045262D7C94A40
;;Hamburg;22083;Hamburger Straße;176;;;dry_cleaning;0101000020E610000095A938C42E142440FB70DA9DFFC94A40
Falafel Factory;;Hamburg;22081;Barmbeker Markt;40;restaurant;;;0101000020E61000001BF5108DEE142440256A58422DCA4A40
Sushi-Bar;;;;;;fast_food;;;0101000020E61000002769A3DF6315244078C7180E3ACA4A40
Asia Supermarket;;;;;;;;supermarket;0101000020E610000026F61ACC70152440D595CFF23CCA4A40
Asia Haus;;;;;;fast_food;;;0101000020E61000001F99B3E32B162440A400513063CA4A40
Pizza Max;;;;;;fast_food;;;0101000020E610000013C3C4D5B71624401ADB10887CCA4A40
;;;;;;;;kiosk;0101000020E6100000BDC1BC6CE0172440276DAAEE91CA4A40
Dergah;;;;;;restaurant;;;0101000020E61000004EA2B9A9DC1B24409B54D91C8CCB4A40
Paul Winkler & Sohn;;;;;;;;kiosk;0101000020E61000000913EBF93F1C24405D89E53B9DCB4A40
Pizza Jungs;;;;;;fast_food;;;0101000020E610000066ED0099E71A2440B5BEEDAE58CB4A40
New Asia;;;;;;;;supermarket;0101000020E610000031B8E68EFE172440130EBDC5C3CA4A40
KIK;;Hamburg;22083;Hamburger Straße;205-207;;;clothes;0101000020E6100000CE075FF305142440EF7B2F1922CA4A40
Goldener Drache;;;;;;restaurant;;;0101000020E6100000BE423058BB13244020C9F66BFCC94A40
;;;;Hamburger Straße;169;;;laundry;0101000020E6100000A1C7DE41A2132440343D17FCECC94A40
;;;;;;restaurant;;;0101000020E6100000DFFB1BB457132440A58AE255D6C94A40
