name;operator;network;wheelchair;geom
S Othmarschen;;;;0101000020E6100000D5528A671AC623402C7D8DC987C74A40
Lübecker Straße;;;no;0101000020E6100000B514353DCD0E2440C3D08F2B9AC74A40
Baumwall (Elbphilharmonie);;;yes;0101000020E6100000E2934E2498F62340BC0A293FA9C54A40
Landungsbrücken;;;;0101000020E6100000940E208D54F12340E29DD733DFC54A40
Rödingsmarkt;;;;0101000020E61000007A104C7F40F92340749D465A2AC64A40
Siedlung Curslack (Nord);VHH;HVV;;0101000020E61000003D0E83F92B682440A450BB044CBC4A40
BAB-Auffahrt Bergedorf;;HVV;;0101000020E6100000A8E331039569244031B374AA21BD4A40
Bf. Altona;;;;0101000020E610000079701C1DFCDD2340DCD0DE2A99C64A40
Grotefendweg;;;;0101000020E61000008404D6BB89A723400A3D51C884C84A40
Grotefendweg;;;;0101000020E6100000505CE91093A72340BB511A2087C84A40
Elbe-Einkaufszentrum;;;;0101000020E610000010CC762A85B92340CA46318A2FC94A40
Asklepios Westklinikum (West);;;;0101000020E6100000FF61A648198C23400318851387CA4A40
Suurheid;;;;0101000020E6100000D0D4EB1681892340F92B09F599CA4A40
S Rissen;;;;0101000020E6100000C1841B3A87842340D01FE4068DCA4A40
S Sülldorf;;;;0101000020E610000088E41A553C982340877945A632CA4A40
S Sülldorf;;;;0101000020E6100000F01417EC2B9823407AABAE4335CA4A40
Feldstraße (Heiligengeistfeld);;;;0101000020E6100000AF415F7AFBEF2340463A4DB049C74A40
St. Pauli;;;;0101000020E6100000FF17192EBCF0234068EE21E17BC64A40
Sternschanze (Messe);;;;0101000020E6100000CCC0B79F42F0234032FCF1A842C84A40
Mönckebergstraße;;;;0101000020E610000034FED87FF800244016EE4BEC90C64A40
Rathaus;;;;0101000020E61000004F2A7524F2FC234072A197F672C64A40
Magellan-Terrassen;;;;0101000020E61000004A850C3F93FC2340C643CEB172C54A40
Magellan-Terrassen;;;;0101000020E61000009820D912A8FC234005DF347D76C54A40
Johannes-Brahms-Platz;;;;0101000020E61000000DF49A68A1F62340F98903E8F7C64A40
Johannes-Brahms-Platz;;;;0101000020E6100000D835B5C766F62340AD4324F900C74A40
Rathausmarkt (Petrikirche);;;;0101000020E610000013E2804C21FE234046A863DF5FC64A40
S Holstenstraße;;;;0101000020E6100000A256E24BF2E52340BEE71B2CF7C74A40
Sievekingplatz;;;;0101000020E61000008200193A76F423408003498E2AC74A40
Sievekingplatz;;;;0101000020E6100000C4F98A2430F423407B0D0BFF33C74A40
U Feldstraße;;;;0101000020E610000077BC6EB65EF023405D514A0856C74A40
Bahnhof Rahlstedt (Doberaner Weg);;;;0101000020E6100000D938ACBA584E2440A3C38DA559CD4A40
Wildschwanbrook;;;;0101000020E6100000D1C144CDA1562440240B3D073BD04A40
Wildschwanbrook;;;;0101000020E610000006A4FD0FB0562440B235B6323CD04A40
Wildschwanbrook (Mitte);;;;0101000020E61000002D1FEE8F9C592440324BF1A77CD04A40
Wildschwanbrook (Mitte);;;;0101000020E61000004F1EBBB0DA5924402948C73082D04A40
Hellmesbergerweg;;;;0101000020E6100000CBA2B08BA25B244066E6B809ADD04A40
Hellmesbergerweg;;;;0101000020E61000001CF2CF0CE25B2440C9C79349B2D04A40
Am Hehsel;;;;0101000020E6100000A47D62539D1C2440FBB48AFED0D24A40
Am Hehsel;;;;0101000020E610000069EE7C9AEE1C2440F04394E5DAD24A40
Ruscheweyhstraße;;;;0101000020E6100000F1C80EE0E31E244043D9A55714D34A40
Ruscheweyhstraße;;;;0101000020E610000038FB5E9E291F2440E3E1E24D23D34A40
Goldröschenweg;;;;0101000020E6100000F808EBB58F232440C5E9245B5DD34A40
Hültkoppel;;;;0101000020E6100000BB1688F94D482440B1FAC85290D34A40
Alte Landstraße (Nord);;;;0101000020E610000034283F4E3D27244030794D5997D34A40
Hültkoppel;;;;0101000020E6100000EE34E37ED14724408EA960F998D34A40
Halenreie;;;;0101000020E6100000CAC91F67F55124404B1EF4119DD34A40
Rögenfeld;;;;0101000020E610000081B79B3B554D2440501DAB949ED34A40
Halenreie;;;;0101000020E610000076B9D27CDF51244044CB15399FD34A40
Rögenfeld;;;;0101000020E6100000B5E62219CD4D2440E35A481BA2D34A40
Norbert-Schmid-Platz;;;;0101000020E6100000A5BCFB88042024403946B247A8D34A40
Norbert-Schmid-Platz;;;;0101000020E610000051C3B7B06E202440A096D52AB0D34A40
Sasel, Markt;;;;0101000020E6100000B2E20ADE463924406AABED81B1D34A40
Op de Elg;;;;0101000020E6100000C8A5E0DF563C24404F4354E1CFD34A40
Steinwegel;;;;0101000020E61000008B19E1ED41402440EA865C5FDAD34A40
Steinwegel;;;;0101000020E6100000C94510429B3F24408F49905BDDD34A40
Op de Elg;;;;0101000020E61000003D0DBD6A0A3D24409B95ED43DED34A40
Saselbekstraße;;;;0101000020E61000004ACF9959F043244015048F6FEFD34A40
Saselbekstraße;;;;0101000020E610000068BFA4E7CC442440FF8EF2DDF7D34A40
U Meiendorfer Weg;;;;0101000020E610000077D954826A50244020B18284CDD14A40
U Volksdorf;;;;0101000020E6100000537AA697185324400874CBB337D34A40
U Volksdorf;;;;0101000020E6100000124D45CFD25224409C4A500D45D34A40
Wiemerskamp, Ehlersberger Weg;;;;0101000020E610000039054367E34E24402AF74C405DDE4A40
Wiemerskamp, Ehlersberger Weg;;;;0101000020E61000007279628CFE4E24406BCC35165EDE4A40
Specksaalredder;;;;0101000020E61000009F2DD62604352440F74B7ACECCD94A40
Nedderfeld (Anscharhöhe);;;;0101000020E61000001D08C90226F82340B4C1D375F2CC4A40
U Ohlstedt;;;;0101000020E61000002FE46C95BB462440E298654F02D94A40
Schulbergredder;;;;0101000020E6100000822DC088C72B24404C4C61EF0FD44A40
Norbert-Schmid-Platz;;;;0101000020E61000005159034AF91F24402AD9FB9EA2D34A40
Norbert-Schmid-Platz;;;;0101000020E61000006860E4654D2024406A0712CAB1D34A40
Preetzer Straße;;;;0101000020E6100000334D7DC5BF0824402675029A08D14A40
U S Ohlsdorf;;;;0101000020E61000000B4B9759DF0F2440EC62E47679CF4A40
Suhrenkamp;;;;0101000020E6100000F6EFFACC59072440EC2411D033CF4A40
Suhrenkamp;;;;0101000020E6100000FD4685FB12072440FF68EED753CF4A40
Hebebrandstraße;;;;0101000020E61000003D8CFFF114142440E4AF7F8DDACD4A40
Burgstraße;;;;0101000020E61000007641333E82152440E3CD757522C74A40
